%time,field0,field1,field2,field3,field4,field5,,,left x,left y,left z,right x,right y ,right z
1422318506568640000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506568670000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506568720000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506568740000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506568760000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506568790000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506568810000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506568830000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506568850000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506568880000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506568900000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506568920000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506568940000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506568960000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506568990000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506569010000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506569030000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506569050000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506569070000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506569100000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506569120000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506569140000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506569160000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506569180000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506569210000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506569230000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506569250000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506569270000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506569290000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506569320000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506569340000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506569360000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506569380000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506569400000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506569420000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506569450000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506569470000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506569490000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506569510000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506608580000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506608660000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506608690000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506608710000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506608730000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506608760000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506608780000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
